image_id,method,config_id,iou_threshold,gpu,latency_ms,input_mode,normalize,invert,diameter,flow_threshold,cellprob_threshold,min_size,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
853a4c67900c411abd04467f7bc7813d3c58a5f565c8b0807e13c6e6dea21344,cellpose_cpsam,gray_mean,0.5,True,711.352,gray_mean,True,False,,0.4,0.0,15,18,17,17,0,1,1.0,0.9444444444444444,0.9714285714285714,0.8820725598490738,0.9358239108494997,-1,1
942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0,cellpose_cpsam,gray_mean,0.5,True,719.033,gray_mean,True,False,,0.4,0.0,15,51,52,50,2,1,0.9615384615384616,0.9803921568627451,0.970873786407767,0.8252559386183814,0.901219251530391,1,1
a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,cellpose_cpsam,gray_mean,0.5,True,757.921,gray_mean,True,False,,0.4,0.0,15,26,26,23,3,3,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8790986479207252,0.932341188429577,0,0
ad473063dab4bf4f2461d9a99a9c0166d4871f156516d9e0a523484e7cf2258d,cellpose_cpsam,gray_mean,0.5,True,737.261,gray_mean,True,False,,0.4,0.0,15,84,71,67,4,17,0.9436619718309859,0.7976190476190477,0.8645161290322582,0.7857159271950998,0.876213789818191,-13,13
b909aa8f6f4bec37c3fb6ff5a85d166162d07983506fcc57be742b0f9dbafbf7,cellpose_cpsam,gray_mean,0.5,True,720.933,gray_mean,True,False,,0.4,0.0,15,9,8,6,2,3,0.75,0.6666666666666666,0.7058823529411765,0.7946307691331306,0.8777406537434564,-1,1
c6216cdc42f61bc345434986db42e2ef9b9741aee3210b7a808e952e319d2305,cellpose_cpsam,gray_mean,0.5,True,690.987,gray_mean,True,False,,0.4,0.0,15,32,30,28,2,4,0.9333333333333333,0.875,0.9032258064516129,0.7785826527356383,0.8732861306422992,-2,2
d7d12a2acc47a94961aeb56fd56e8a0873016af75f5dd10915de9db8af8e4f5e,cellpose_cpsam,gray_mean,0.5,True,737.387,gray_mean,True,False,,0.4,0.0,15,22,20,20,0,2,1.0,0.9090909090909091,0.9523809523809523,0.8420695694335443,0.9084229364122427,-2,2
e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2,cellpose_cpsam,gray_mean,0.5,True,1998.293,gray_mean,True,False,,0.4,0.0,15,130,133,129,4,1,0.9699248120300752,0.9923076923076923,0.9809885931558935,0.9242622851730812,0.959622499737988,3,3
f29fd9c52e04403cd2c7d43b6fe2479292e53b2f61969d25256d2d2aca7c6a81,cellpose_cpsam,gray_mean,0.5,True,3341.3,gray_mean,True,False,,0.4,0.0,15,199,168,157,11,42,0.9345238095238095,0.7889447236180904,0.8555858310626703,0.7497753162468754,0.8536799716371047,-31,31
ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,cellpose_cpsam,gray_mean,0.5,True,758.164,gray_mean,True,False,,0.4,0.0,15,24,24,24,0,0,1.0,1.0,1.0,0.9357950336315888,0.9658129550796968,0,0
