split,image_id,method,method_label,perturbation,clean_object_f1,object_f1,absolute_object_f1_drop,relative_object_f1_drop,clean_precision,precision,precision_drop,clean_recall,recall,recall_drop,clean_absolute_count_error,absolute_count_error,absolute_count_error_delta,true_instances,pred_instances,false_positives,false_negatives,no_prediction
stage1_train_full,03b9306f44e9b8951461623dcbd615550cdcf36ea93b203f2c8fa58ed1dffcbe,otsu_watershed,Otsu + watershed,gaussian_noise,0.3056,0.1538,0.1517,0.4965,0.22,0.1014,0.1186,0.5,0.3182,0.1818,28,47,19,22,69,62,15,False
stage1_train_full,03b9306f44e9b8951461623dcbd615550cdcf36ea93b203f2c8fa58ed1dffcbe,otsu_watershed,Otsu + watershed,gaussian_blur,0.3056,0.4225,-0.117,-0.3828,0.22,0.3061,-0.0861,0.5,0.6818,-0.1818,28,27,-1,22,49,34,7,False
stage1_train_full,03b9306f44e9b8951461623dcbd615550cdcf36ea93b203f2c8fa58ed1dffcbe,otsu_watershed,Otsu + watershed,downsample_upsample,0.3056,0.5075,-0.2019,-0.6608,0.22,0.3778,-0.1578,0.5,0.7727,-0.2727,28,23,-5,22,45,28,5,False
stage1_train_full,03b9306f44e9b8951461623dcbd615550cdcf36ea93b203f2c8fa58ed1dffcbe,otsu_watershed,Otsu + watershed,contrast_inversion,0.3056,0.2683,0.0373,0.122,0.22,0.1833,0.0367,0.5,0.5,0.0,28,38,10,22,60,49,11,False
stage1_train_full,03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a,otsu_watershed,Otsu + watershed,clean,0.2597,0.2597,0.0,0.0,0.1667,0.1667,0.0,0.5882,0.5882,0.0,43,43,0,17,60,50,7,False
stage1_train_full,03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a,otsu_watershed,Otsu + watershed,gaussian_noise,0.2597,0.0345,0.2253,0.8672,0.1667,0.0202,0.1465,0.5882,0.1176,0.4706,43,82,39,17,99,97,15,False
stage1_train_full,03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a,otsu_watershed,Otsu + watershed,gaussian_blur,0.2597,0.2466,0.0132,0.0507,0.1667,0.1607,0.006,0.5882,0.5294,0.0588,43,39,-4,17,56,47,8,False
stage1_train_full,03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a,otsu_watershed,Otsu + watershed,downsample_upsample,0.2597,0.2222,0.0375,0.1444,0.1667,0.1406,0.026,0.5882,0.5294,0.0588,43,47,4,17,64,55,8,False
stage1_train_full,03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a,otsu_watershed,Otsu + watershed,contrast_inversion,0.2597,0.2597,0.0,0.0,0.1667,0.1667,0.0,0.5882,0.5882,0.0,43,43,0,17,60,50,7,False
stage1_train_full,0402a81e75262469925ea893b6706183832e85324f7b1e08e634129f5d522cdd,otsu_watershed,Otsu + watershed,clean,0.6255,0.6255,0.0,0.0,0.6441,0.6441,0.0,0.608,0.608,0.0,7,7,0,125,118,42,49,False
stage1_train_full,0402a81e75262469925ea893b6706183832e85324f7b1e08e634129f5d522cdd,otsu_watershed,Otsu + watershed,gaussian_noise,0.6255,0.562,0.0635,0.1016,0.6441,0.5812,0.0629,0.608,0.544,0.064,7,8,1,125,117,49,57,False
stage1_train_full,0402a81e75262469925ea893b6706183832e85324f7b1e08e634129f5d522cdd,otsu_watershed,Otsu + watershed,gaussian_blur,0.6255,0.5932,0.0323,0.0516,0.6441,0.6306,0.0134,0.608,0.56,0.048,7,14,7,125,111,41,55,False
stage1_train_full,0402a81e75262469925ea893b6706183832e85324f7b1e08e634129f5d522cdd,otsu_watershed,Otsu + watershed,downsample_upsample,0.6255,0.6581,-0.0326,-0.0521,0.6441,0.7064,-0.0624,0.608,0.616,-0.008,7,16,9,125,109,32,48,False
stage1_train_full,0402a81e75262469925ea893b6706183832e85324f7b1e08e634129f5d522cdd,otsu_watershed,Otsu + watershed,contrast_inversion,0.6255,0.6245,0.001,0.0017,0.6441,0.6607,-0.0166,0.608,0.592,0.016,7,13,6,125,112,38,51,False
stage1_train_full,04acab7636c4cf61d288a5962f15fa456b7bde31a021e5deedfbf51288e4001e,otsu_watershed,Otsu + watershed,clean,0.8118,0.8118,0.0,0.0,0.7841,0.7841,0.0,0.8415,0.8415,0.0,6,6,0,82,88,19,13,False
stage1_train_full,04acab7636c4cf61d288a5962f15fa456b7bde31a021e5deedfbf51288e4001e,otsu_watershed,Otsu + watershed,gaussian_noise,0.8118,0.6237,0.1881,0.2317,0.7841,0.5577,0.2264,0.8415,0.7073,0.1341,6,22,16,82,104,46,24,False
stage1_train_full,04acab7636c4cf61d288a5962f15fa456b7bde31a021e5deedfbf51288e4001e,otsu_watershed,Otsu + watershed,gaussian_blur,0.8118,0.8605,-0.0487,-0.06,0.7841,0.8222,-0.0381,0.8415,0.9024,-0.061,6,8,2,82,90,16,8,False
stage1_train_full,04acab7636c4cf61d288a5962f15fa456b7bde31a021e5deedfbf51288e4001e,otsu_watershed,Otsu + watershed,downsample_upsample,0.8118,0.8353,-0.0235,-0.029,0.7841,0.8068,-0.0227,0.8415,0.8659,-0.0244,6,6,0,82,88,17,11,False
stage1_train_full,04acab7636c4cf61d288a5962f15fa456b7bde31a021e5deedfbf51288e4001e,otsu_watershed,Otsu + watershed,contrast_inversion,0.8118,0.7386,0.0731,0.0901,0.7841,0.6915,0.0926,0.8415,0.7927,0.0488,6,12,6,82,94,29,17,False
stage1_train_full,05040e2e959c3f5632558fc9683fec88f0010026c555b499066346f67fdd0e13,otsu_watershed,Otsu + watershed,clean,0.8302,0.8302,0.0,0.0,0.7586,0.7586,0.0,0.9167,0.9167,0.0,5,5,0,24,29,7,2,False
stage1_train_full,05040e2e959c3f5632558fc9683fec88f0010026c555b499066346f67fdd0e13,otsu_watershed,Otsu + watershed,gaussian_noise,0.8302,0.7719,0.0583,0.0702,0.7586,0.6667,0.092,0.9167,0.9167,0.0,5,9,4,24,33,11,2,False
stage1_train_full,05040e2e959c3f5632558fc9683fec88f0010026c555b499066346f67fdd0e13,otsu_watershed,Otsu + watershed,gaussian_blur,0.8302,0.7925,0.0377,0.0455,0.7586,0.7241,0.0345,0.9167,0.875,0.0417,5,5,0,24,29,8,3,False
stage1_train_full,05040e2e959c3f5632558fc9683fec88f0010026c555b499066346f67fdd0e13,otsu_watershed,Otsu + watershed,downsample_upsample,0.8302,0.8077,0.0225,0.0271,0.7586,0.75,0.0086,0.9167,0.875,0.0417,5,4,-1,24,28,7,3,False
stage1_train_full,05040e2e959c3f5632558fc9683fec88f0010026c555b499066346f67fdd0e13,otsu_watershed,Otsu + watershed,contrast_inversion,0.8302,0.8302,0.0,0.0,0.7586,0.7586,0.0,0.9167,0.9167,0.0,5,5,0,24,29,7,2,False
stage1_train_full,0532c64c2fd0c4d3188cc751cdfd566b1cfba3d269358717295bab1504c7c275,otsu_watershed,Otsu + watershed,clean,0.4308,0.4308,0.0,0.0,0.3415,0.3415,0.0,0.5833,0.5833,0.0,17,17,0,24,41,27,10,False
stage1_train_full,0532c64c2fd0c4d3188cc751cdfd566b1cfba3d269358717295bab1504c7c275,otsu_watershed,Otsu + watershed,gaussian_noise,0.4308,0.064,0.3668,0.8514,0.3415,0.0396,0.3019,0.5833,0.1667,0.4167,17,77,60,24,101,97,20,False
stage1_train_full,0532c64c2fd0c4d3188cc751cdfd566b1cfba3d269358717295bab1504c7c275,otsu_watershed,Otsu + watershed,gaussian_blur,0.4308,0.4225,0.0082,0.0191,0.3415,0.3191,0.0223,0.5833,0.625,-0.0417,17,23,6,24,47,32,9,False
stage1_train_full,0532c64c2fd0c4d3188cc751cdfd566b1cfba3d269358717295bab1504c7c275,otsu_watershed,Otsu + watershed,downsample_upsample,0.4308,0.4286,0.0022,0.0051,0.3415,0.3261,0.0154,0.5833,0.625,-0.0417,17,22,5,24,46,31,9,False
stage1_train_full,0532c64c2fd0c4d3188cc751cdfd566b1cfba3d269358717295bab1504c7c275,otsu_watershed,Otsu + watershed,contrast_inversion,0.4308,0.4308,0.0,0.0,0.3415,0.3415,0.0,0.5833,0.5833,0.0,17,17,0,24,41,27,10,False
stage1_train_full,05a8f65ebd0b30d3b210f30b4d640c847c2e710d0d135e0aeeaccbe1988e3b6e,otsu_watershed,Otsu + watershed,clean,0.8679,0.8679,0.0,0.0,0.8519,0.8519,0.0,0.8846,0.8846,0.0,1,1,0,26,27,4,3,False
stage1_train_full,05a8f65ebd0b30d3b210f30b4d640c847c2e710d0d135e0aeeaccbe1988e3b6e,otsu_watershed,Otsu + watershed,gaussian_noise,0.8679,0.8679,0.0,0.0,0.8519,0.8519,0.0,0.8846,0.8846,0.0,1,1,0,26,27,4,3,False
stage1_train_full,05a8f65ebd0b30d3b210f30b4d640c847c2e710d0d135e0aeeaccbe1988e3b6e,otsu_watershed,Otsu + watershed,gaussian_blur,0.8679,0.8235,0.0444,0.0512,0.8519,0.84,0.0119,0.8846,0.8077,0.0769,1,1,0,26,25,4,5,False
stage1_train_full,05a8f65ebd0b30d3b210f30b4d640c847c2e710d0d135e0aeeaccbe1988e3b6e,otsu_watershed,Otsu + watershed,downsample_upsample,0.8679,0.8,0.0679,0.0783,0.8519,0.8333,0.0185,0.8846,0.7692,0.1154,1,2,1,26,24,4,6,False
stage1_train_full,05a8f65ebd0b30d3b210f30b4d640c847c2e710d0d135e0aeeaccbe1988e3b6e,otsu_watershed,Otsu + watershed,contrast_inversion,0.8679,0.8679,0.0,0.0,0.8519,0.8519,0.0,0.8846,0.8846,0.0,1,1,0,26,27,4,3,False
stage1_train_full,06350c7cc618be442c15706db7a68e91f313758d224de4608f9b960106d4f9ca,otsu_watershed,Otsu + watershed,clean,0.7179,0.7179,0.0,0.0,0.7,0.7,0.0,0.7368,0.7368,0.0,1,1,0,19,20,6,5,False
stage1_train_full,06350c7cc618be442c15706db7a68e91f313758d224de4608f9b960106d4f9ca,otsu_watershed,Otsu + watershed,gaussian_noise,0.7179,0.7,0.0179,0.025,0.7,0.6667,0.0333,0.7368,0.7368,0.0,1,2,1,19,21,7,5,False
stage1_train_full,06350c7cc618be442c15706db7a68e91f313758d224de4608f9b960106d4f9ca,otsu_watershed,Otsu + watershed,gaussian_blur,0.7179,0.9189,-0.201,-0.2799,0.7,0.9444,-0.2444,0.7368,0.8947,-0.1579,1,1,0,19,18,1,2,False
stage1_train_full,06350c7cc618be442c15706db7a68e91f313758d224de4608f9b960106d4f9ca,otsu_watershed,Otsu + watershed,downsample_upsample,0.7179,0.7895,-0.0715,-0.0996,0.7,0.7895,-0.0895,0.7368,0.7895,-0.0526,1,0,-1,19,19,4,4,False
stage1_train_full,06350c7cc618be442c15706db7a68e91f313758d224de4608f9b960106d4f9ca,otsu_watershed,Otsu + watershed,contrast_inversion,0.7179,0.8421,-0.1242,-0.1729,0.7,0.8421,-0.1421,0.7368,0.8421,-0.1053,1,0,-1,19,19,3,3,False
stage1_train_full,06c779330d6d3447be21df2b9f05d1088f5b3b50dc48724fc130b1fd2896a68c,otsu_watershed,Otsu + watershed,clean,0.3232,0.3232,0.0,0.0,0.2319,0.2319,0.0,0.5333,0.5333,0.0,39,39,0,30,69,53,14,False
stage1_train_full,06c779330d6d3447be21df2b9f05d1088f5b3b50dc48724fc130b1fd2896a68c,otsu_watershed,Otsu + watershed,gaussian_noise,0.3232,0.1935,0.1297,0.4012,0.2319,0.1277,0.1042,0.5333,0.4,0.1333,39,64,25,30,94,82,18,False
stage1_train_full,06c779330d6d3447be21df2b9f05d1088f5b3b50dc48724fc130b1fd2896a68c,otsu_watershed,Otsu + watershed,gaussian_blur,0.3232,0.3441,-0.0209,-0.0645,0.2319,0.254,-0.0221,0.5333,0.5333,0.0,39,33,-6,30,63,47,14,False
stage1_train_full,06c779330d6d3447be21df2b9f05d1088f5b3b50dc48724fc130b1fd2896a68c,otsu_watershed,Otsu + watershed,downsample_upsample,0.3232,0.3061,0.0171,0.0529,0.2319,0.2206,0.0113,0.5333,0.5,0.0333,39,38,-1,30,68,53,15,False
stage1_train_full,06c779330d6d3447be21df2b9f05d1088f5b3b50dc48724fc130b1fd2896a68c,otsu_watershed,Otsu + watershed,contrast_inversion,0.3232,0.3265,-0.0033,-0.0102,0.2319,0.2353,-0.0034,0.5333,0.5333,0.0,39,38,-1,30,68,52,14,False
stage1_train_full,072ff14c1d3245bf49ad6f1d4c71cdb18f1cb78a8e06fd2f53767e28f727cb81,otsu_watershed,Otsu + watershed,clean,0.4444,0.4444,0.0,0.0,0.3636,0.3636,0.0,0.5714,0.5714,0.0,4,4,0,7,11,7,3,False
stage1_train_full,072ff14c1d3245bf49ad6f1d4c71cdb18f1cb78a8e06fd2f53767e28f727cb81,otsu_watershed,Otsu + watershed,gaussian_noise,0.4444,0.6,-0.1556,-0.35,0.3636,0.4615,-0.0979,0.5714,0.8571,-0.2857,4,6,2,7,13,7,1,False
stage1_train_full,072ff14c1d3245bf49ad6f1d4c71cdb18f1cb78a8e06fd2f53767e28f727cb81,otsu_watershed,Otsu + watershed,gaussian_blur,0.4444,0.8571,-0.4127,-0.9286,0.3636,0.8571,-0.4935,0.5714,0.8571,-0.2857,4,0,-4,7,7,1,1,False
stage1_train_full,072ff14c1d3245bf49ad6f1d4c71cdb18f1cb78a8e06fd2f53767e28f727cb81,otsu_watershed,Otsu + watershed,downsample_upsample,0.4444,0.625,-0.1806,-0.4063,0.3636,0.5556,-0.1919,0.5714,0.7143,-0.1429,4,2,-2,7,9,4,2,False
