split,image_id,method,method_label,perturbation,perturbation_params,iou_threshold,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
stage1_train_full,45cc00f2ef95da6698bf590663e319d7c0ed4fb99d42dd3cf4060887da74fb81,otsu_watershed,Otsu + watershed,clean,{},0.5,13.905,16,39,11,28,5,0.282051282051282,0.6875,0.4,0.8103375778077271,0.8873969467714041,23,23
stage1_train_full,45cc00f2ef95da6698bf590663e319d7c0ed4fb99d42dd3cf4060887da74fb81,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,15.996,16,87,6,81,10,0.0689655172413793,0.375,0.116504854368932,0.6997220732477868,0.8152064787115388,71,71
stage1_train_full,45cc00f2ef95da6698bf590663e319d7c0ed4fb99d42dd3cf4060887da74fb81,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,14.693,16,32,14,18,2,0.4375,0.875,0.5833333333333334,0.7860667246546337,0.8701899424583089,16,16
stage1_train_full,45cc00f2ef95da6698bf590663e319d7c0ed4fb99d42dd3cf4060887da74fb81,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,15.833,16,33,13,20,3,0.3939393939393939,0.8125,0.5306122448979591,0.8171699715717609,0.8901220171919176,17,17
stage1_train_full,45cc00f2ef95da6698bf590663e319d7c0ed4fb99d42dd3cf4060887da74fb81,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,13.185,16,39,11,28,5,0.282051282051282,0.6875,0.4,0.8103375778077271,0.8873969467714041,23,23
stage1_train_full,45f059cf21d85ecfce0eb93260516f1e2443d210e9a52f9ae2271d604aa3fcc5,otsu_watershed,Otsu + watershed,clean,{},0.5,10.861,15,68,7,61,8,0.1029411764705882,0.4666666666666667,0.1686746987951807,0.7005425070498734,0.8143684982226687,53,53
stage1_train_full,45f059cf21d85ecfce0eb93260516f1e2443d210e9a52f9ae2271d604aa3fcc5,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,11.292,15,85,4,81,11,0.0470588235294117,0.2666666666666666,0.08,0.7129307764422597,0.8261894934887448,70,70
stage1_train_full,45f059cf21d85ecfce0eb93260516f1e2443d210e9a52f9ae2271d604aa3fcc5,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,10.271,15,67,6,61,9,0.0895522388059701,0.4,0.1463414634146341,0.6857404354516318,0.8064856968105162,52,52
stage1_train_full,45f059cf21d85ecfce0eb93260516f1e2443d210e9a52f9ae2271d604aa3fcc5,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,10.78,15,69,6,63,9,0.0869565217391304,0.4,0.1428571428571428,0.666806064501117,0.7922032804573815,54,54
stage1_train_full,45f059cf21d85ecfce0eb93260516f1e2443d210e9a52f9ae2271d604aa3fcc5,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,14.339,15,69,8,61,7,0.1159420289855072,0.5333333333333333,0.1904761904761905,0.675601641970421,0.7958933485837859,54,54
stage1_train_full,4829177d0b36abdd92c4ef0c7834cbc49f95232076bdd7e828f1f7cbb5ed80ec,otsu_watershed,Otsu + watershed,clean,{},0.5,5.787,8,9,8,1,0,0.8888888888888888,1.0,0.9411764705882352,0.8717453477836727,0.9299429270035056,1,1
