split,image_id,method,method_label,perturbation,clean_object_f1,object_f1,absolute_object_f1_drop,relative_object_f1_drop,clean_precision,precision,precision_drop,clean_recall,recall,recall_drop,clean_absolute_count_error,absolute_count_error,absolute_count_error_delta,true_instances,pred_instances,false_positives,false_negatives
stage1_train_clean20_subset,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,otsu_watershed,Otsu + watershed,downsample_upsample,0.0552,0.032,0.0232,0.4206,0.033,0.0195,0.0134,0.1691,0.0882,0.0809,562,479,-83,136,615,603,124
stage1_train_clean20_subset,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,otsu_watershed,Otsu + watershed,intensity_scale,0.0552,0.0552,0.0,0.0,0.033,0.033,0.0,0.1691,0.1691,0.0,562,562,0,136,698,675,113
stage1_train_clean20_subset,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,otsu_watershed,Otsu + watershed,contrast_inversion,0.0552,0.0482,0.007,0.1267,0.033,0.0285,0.0044,0.1691,0.1544,0.0147,562,600,38,136,736,715,115
stage1_train_clean20_subset,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,otsu_watershed,Otsu + watershed,clean,0.3556,0.3556,0.0,0.0,0.254,0.254,0.0,0.5926,0.5926,0.0,36,36,0,27,63,47,11
stage1_train_clean20_subset,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,otsu_watershed,Otsu + watershed,gaussian_noise,0.3556,0.1194,0.2362,0.6642,0.254,0.0748,0.1792,0.5926,0.2963,0.2963,36,80,44,27,107,99,19
stage1_train_clean20_subset,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,otsu_watershed,Otsu + watershed,poisson_noise,0.3556,0.2727,0.0828,0.233,0.254,0.1807,0.0732,0.5926,0.5556,0.037,36,56,20,27,83,68,12
stage1_train_clean20_subset,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,otsu_watershed,Otsu + watershed,gaussian_blur,0.3556,0.4419,-0.0863,-0.2427,0.254,0.322,-0.0681,0.5926,0.7037,-0.1111,36,32,-4,27,59,40,8
stage1_train_clean20_subset,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,otsu_watershed,Otsu + watershed,downsample_upsample,0.3556,0.4286,-0.073,-0.2054,0.254,0.3158,-0.0618,0.5926,0.6667,-0.0741,36,30,-6,27,57,39,9
stage1_train_clean20_subset,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,otsu_watershed,Otsu + watershed,intensity_scale,0.3556,0.3556,0.0,0.0,0.254,0.254,0.0,0.5926,0.5926,0.0,36,36,0,27,63,47,11
stage1_train_clean20_subset,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,otsu_watershed,Otsu + watershed,contrast_inversion,0.3556,0.4828,-0.1272,-0.3578,0.254,0.35,-0.096,0.5926,0.7778,-0.1852,36,33,-3,27,60,39,6
stage1_train_clean20_subset,66612c188d73e931e1863af2c99d2af782c32f65fd97d224abb40bbadb87263f,otsu_watershed,Otsu + watershed,clean,0.9286,0.9286,0.0,0.0,1.0,1.0,0.0,0.8667,0.8667,0.0,2,2,0,15,13,0,2
stage1_train_clean20_subset,66612c188d73e931e1863af2c99d2af782c32f65fd97d224abb40bbadb87263f,otsu_watershed,Otsu + watershed,gaussian_noise,0.9286,0.8,0.1286,0.1385,1.0,0.8,0.2,0.8667,0.8,0.0667,2,0,-2,15,15,3,3
stage1_train_clean20_subset,66612c188d73e931e1863af2c99d2af782c32f65fd97d224abb40bbadb87263f,otsu_watershed,Otsu + watershed,poisson_noise,0.9286,0.75,0.1786,0.1923,1.0,0.7059,0.2941,0.8667,0.8,0.0667,2,2,0,15,17,5,3
stage1_train_clean20_subset,66612c188d73e931e1863af2c99d2af782c32f65fd97d224abb40bbadb87263f,otsu_watershed,Otsu + watershed,gaussian_blur,0.9286,0.9655,-0.0369,-0.0398,1.0,1.0,0.0,0.8667,0.9333,-0.0667,2,1,-1,15,14,0,1
stage1_train_clean20_subset,66612c188d73e931e1863af2c99d2af782c32f65fd97d224abb40bbadb87263f,otsu_watershed,Otsu + watershed,downsample_upsample,0.9286,0.9655,-0.0369,-0.0398,1.0,1.0,0.0,0.8667,0.9333,-0.0667,2,1,-1,15,14,0,1
stage1_train_clean20_subset,66612c188d73e931e1863af2c99d2af782c32f65fd97d224abb40bbadb87263f,otsu_watershed,Otsu + watershed,intensity_scale,0.9286,0.9286,0.0,0.0,1.0,1.0,0.0,0.8667,0.8667,0.0,2,2,0,15,13,0,2
stage1_train_clean20_subset,66612c188d73e931e1863af2c99d2af782c32f65fd97d224abb40bbadb87263f,otsu_watershed,Otsu + watershed,contrast_inversion,0.9286,0.9286,0.0,0.0,1.0,1.0,0.0,0.8667,0.8667,0.0,2,2,0,15,13,0,2
stage1_train_clean20_subset,76c44d1addac92a65f1331f2d93f4e3b130bd4e538a6e5239c3ac1f4c403608a,otsu_watershed,Otsu + watershed,clean,0.9714,0.9714,0.0,0.0,0.9714,0.9714,0.0,0.9714,0.9714,0.0,0,0,0,35,35,1,1
stage1_train_clean20_subset,76c44d1addac92a65f1331f2d93f4e3b130bd4e538a6e5239c3ac1f4c403608a,otsu_watershed,Otsu + watershed,gaussian_noise,0.9714,0.9859,-0.0145,-0.0149,0.9714,0.9722,-0.0008,0.9714,1.0,-0.0286,0,1,1,35,36,1,0
stage1_train_clean20_subset,76c44d1addac92a65f1331f2d93f4e3b130bd4e538a6e5239c3ac1f4c403608a,otsu_watershed,Otsu + watershed,poisson_noise,0.9714,0.9714,0.0,0.0,0.9714,0.9714,0.0,0.9714,0.9714,0.0,0,0,0,35,35,1,1
stage1_train_clean20_subset,76c44d1addac92a65f1331f2d93f4e3b130bd4e538a6e5239c3ac1f4c403608a,otsu_watershed,Otsu + watershed,gaussian_blur,0.9714,0.9855,-0.0141,-0.0145,0.9714,1.0,-0.0286,0.9714,0.9714,0.0,0,1,1,35,34,0,1
stage1_train_clean20_subset,76c44d1addac92a65f1331f2d93f4e3b130bd4e538a6e5239c3ac1f4c403608a,otsu_watershed,Otsu + watershed,downsample_upsample,0.9714,0.9714,0.0,0.0,0.9714,0.9714,0.0,0.9714,0.9714,0.0,0,0,0,35,35,1,1
stage1_train_clean20_subset,76c44d1addac92a65f1331f2d93f4e3b130bd4e538a6e5239c3ac1f4c403608a,otsu_watershed,Otsu + watershed,intensity_scale,0.9714,0.9714,0.0,0.0,0.9714,0.9714,0.0,0.9714,0.9714,0.0,0,0,0,35,35,1,1
stage1_train_clean20_subset,76c44d1addac92a65f1331f2d93f4e3b130bd4e538a6e5239c3ac1f4c403608a,otsu_watershed,Otsu + watershed,contrast_inversion,0.9714,0.9577,0.0137,0.0141,0.9714,0.9444,0.027,0.9714,0.9714,0.0,0,1,1,35,36,2,1
stage1_train_clean20_subset,853a4c67900c411abd04467f7bc7813d3c58a5f565c8b0807e13c6e6dea21344,otsu_watershed,Otsu + watershed,clean,0.1609,0.1609,0.0,0.0,0.1014,0.1014,0.0,0.3889,0.3889,0.0,51,51,0,18,69,62,11
stage1_train_clean20_subset,853a4c67900c411abd04467f7bc7813d3c58a5f565c8b0807e13c6e6dea21344,otsu_watershed,Otsu + watershed,gaussian_noise,0.1609,0.0792,0.0817,0.5078,0.1014,0.0482,0.0533,0.3889,0.2222,0.1667,51,65,14,18,83,79,14
stage1_train_clean20_subset,853a4c67900c411abd04467f7bc7813d3c58a5f565c8b0807e13c6e6dea21344,otsu_watershed,Otsu + watershed,poisson_noise,0.1609,0.0847,0.0762,0.4734,0.1014,0.05,0.0514,0.3889,0.2778,0.1111,51,82,31,18,100,95,13
stage1_train_clean20_subset,853a4c67900c411abd04467f7bc7813d3c58a5f565c8b0807e13c6e6dea21344,otsu_watershed,Otsu + watershed,gaussian_blur,0.1609,0.2469,-0.086,-0.5344,0.1014,0.1587,-0.0573,0.3889,0.5556,-0.1667,51,45,-6,18,63,53,8
stage1_train_clean20_subset,853a4c67900c411abd04467f7bc7813d3c58a5f565c8b0807e13c6e6dea21344,otsu_watershed,Otsu + watershed,downsample_upsample,0.1609,0.2785,-0.1176,-0.7306,0.1014,0.1803,-0.0789,0.3889,0.6111,-0.2222,51,43,-8,18,61,50,7
stage1_train_clean20_subset,853a4c67900c411abd04467f7bc7813d3c58a5f565c8b0807e13c6e6dea21344,otsu_watershed,Otsu + watershed,intensity_scale,0.1609,0.1609,0.0,0.0,0.1014,0.1014,0.0,0.3889,0.3889,0.0,51,51,0,18,69,62,11
stage1_train_clean20_subset,853a4c67900c411abd04467f7bc7813d3c58a5f565c8b0807e13c6e6dea21344,otsu_watershed,Otsu + watershed,contrast_inversion,0.1609,0.2118,-0.0508,-0.316,0.1014,0.1343,-0.0329,0.3889,0.5,-0.1111,51,49,-2,18,67,58,9
