split,image_id,method,method_label,config_id,sweep_group,perturbation,perturbation_index,perturbation_params,iou_threshold,sam2_config,checkpoint,points_per_side,pred_iou_thresh,stability_score_thresh,min_mask_region_area,crop_n_layers,box_nms_thresh,raw_amg_masks,zero_prediction,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
stage1_train_clean20_subset,f29fd9c52e04403cd2c7d43b6fe2479292e53b2f61969d25256d2d2aca7c6a81,sam2_amg,SAM2 AMG,default_current,default,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,15,0,0.7,3,False,2198.174,199,2,0,2,199,0.0,0.0,0.0,0.0,0.0,-197,197
stage1_train_clean20_subset,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,sam2_amg,SAM2 AMG,default_current,default,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,24,0.8,0.9,15,0,0.7,28,False,1806.254,24,27,23,4,1,0.8518518518518519,0.9583333333333334,0.9019607843137256,0.9269554840960276,0.9598426396960272,3,3
stage1_train_clean20_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,sam2_amg,SAM2 AMG,points_per_side_16,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,16,0.8,0.9,15,0,0.7,18,False,1037.706,27,4,0,4,27,0.0,0.0,0.0,0.0,0.0,-23,23
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,sam2_amg,SAM2 AMG,points_per_side_16,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,16,0.8,0.9,15,0,0.7,21,False,855.973,28,13,5,8,23,0.3846153846153846,0.1785714285714285,0.2439024390243902,0.7533667253224419,0.8505176804366912,-15,15
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,sam2_amg,SAM2 AMG,points_per_side_16,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,16,0.8,0.9,15,0,0.7,44,False,751.193,76,15,5,10,71,0.3333333333333333,0.0657894736842105,0.1098901098901098,0.8050897373169018,0.8862832118084499,-61,61
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,sam2_amg,SAM2 AMG,points_per_side_16,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,16,0.8,0.9,15,0,0.7,17,False,834.307,16,1,0,1,16,0.0,0.0,0.0,0.0,0.0,-15,15
stage1_train_clean20_subset,33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,sam2_amg,SAM2 AMG,points_per_side_16,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,16,0.8,0.9,15,0,0.7,25,False,768.757,23,3,2,1,21,0.6666666666666666,0.0869565217391304,0.1538461538461538,0.9243321026524928,0.9605745111983266,-20,20
stage1_train_clean20_subset,4193474b2f1c72f735b13633b219d9cabdd43c21d9c2bb4dfc4809f104ba4c06,sam2_amg,SAM2 AMG,points_per_side_16,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,16,0.8,0.9,15,0,0.7,19,False,741.335,12,9,3,6,9,0.3333333333333333,0.25,0.2857142857142857,0.8714627705334306,0.9308698316594194,-3,3
stage1_train_clean20_subset,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,sam2_amg,SAM2 AMG,points_per_side_16,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,16,0.8,0.9,15,0,0.7,51,False,940.618,136,49,4,45,132,0.0816326530612244,0.0294117647058823,0.0432432432432432,0.7728151828994411,0.8623042272339306,-87,87
stage1_train_clean20_subset,5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,sam2_amg,SAM2 AMG,points_per_side_16,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,16,0.8,0.9,15,0,0.7,26,False,889.666,27,26,25,1,2,0.9615384615384616,0.925925925925926,0.9433962264150944,0.9113741181575168,0.9502616319459376,-1,1
